iter,train_loss,val_loss
250,2.4245946407318115,2.5040555000305176
500,2.062094211578369,2.249760389328003
750,1.762324571609497,2.0929083824157715
1000,1.5128087997436523,2.0114362239837646
1250,1.339889645576477,2.0095374584198
1500,1.1925758123397827,2.0162088871002197
1750,1.0921460390090942,2.008019208908081
2000,1.0067733526229858,2.038940191268921
2200,0.9599078297615051,2.041633367538452
