epoch,train_mse,val_mse
1,0.7668394922423284,0.30579179525375366
2,0.18713656131780582,0.19224531948566437
3,0.12375855008170943,0.14408357441425323
4,0.090400180493546,0.09668437391519547
5,0.06924244505737481,0.06660474091768265
6,0.05959590901881948,0.057316675782203674
7,0.052924798070007426,0.0621163547039032
8,0.048108560540298426,0.051317524164915085
9,0.04530801578569334,0.049866192042827606
10,0.04654944002038181,0.07004479318857193
11,0.047138846968070115,0.05271059647202492
12,0.04419763312481417,0.049300648272037506
13,0.04020741664291215,0.050724390894174576
14,0.04142414420695588,0.050084616988897324
15,0.03954705985711746,0.04903596267104149
16,0.04095131629715265,0.051407989114522934
17,0.03873502272534685,0.05049232020974159
18,0.038996035927789836,0.050106752663850784
19,0.0386364774612507,0.0532204695045948
20,0.041048721880605904,0.04939798638224602
21,0.03874599559865769,0.051036521792411804
22,0.04214227151605162,0.05149446800351143
23,0.03872474200605559,0.04894289746880531
24,0.0379362775768974,0.04709245637059212
25,0.0388557527201994,0.05093252286314964
26,0.03782767838746211,0.047805510461330414
27,0.03817229848293582,0.045956578105688095
28,0.03896138271187792,0.05643944814801216
29,0.04073596454960088,0.0477730855345726
30,0.03924325722033041,0.04894670844078064
31,0.03887515585783488,0.05564180389046669
32,0.04242108796074642,0.05464031919836998
33,0.04033172398608903,0.046076901257038116
34,0.0370434248457254,0.04494956135749817
35,0.038784085985014934,0.046585336327552795
36,0.0375787597211084,0.0518130324780941
37,0.03687961914702611,0.0510307215154171
38,0.03671730274070214,0.05135351046919823
39,0.03906737960161943,0.04807121306657791
40,0.03840016507890948,0.0478665754199028
41,0.03779025427480735,0.04717125743627548
42,0.037831111771143705,0.052878208458423615
43,0.036511890491833385,0.05216674134135246
44,0.0392516693561384,0.05009409785270691
45,0.03727922682641166,0.04997739568352699
46,0.0371562360659881,0.04684826359152794
47,0.03750429945466149,0.051088057458400726
48,0.03756675201010193,0.04601145535707474
49,0.037035315054723926,0.0485941618680954
