epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy
1,0.08,1.0597845241173103,0.4623397435897436,0.9738468837142977,0.5925925925925926
2,0.0788,0.9884882296201739,0.5532852564102564,0.9401928266203676,0.5679012345679012
3,0.077618,0.962295076022231,0.5434695512820512,0.916756229066158,0.5679012345679012
4,0.07645373,0.9458524579082641,0.5422676282051282,0.9013168484210858,0.5925925925925926
5,0.07530692405,0.9279946147173729,0.546875,0.8838088686455858,0.5925925925925926
6,0.07417732018925,0.9117235270462221,0.5474759615384616,0.8671375209408961,0.6296296296296297
7,0.07306466038641124,0.8982875414477963,0.5552884615384616,0.8515086159655941,0.6296296296296297
8,0.07196869048061508,0.8840119323202026,0.546875,0.837877156985256,0.6419753086419753
9,0.07088916012340585,0.8664880946058755,0.5681089743589743,0.8190060101613839,0.6049382716049383
10,0.06982582272155476,0.8526856411009581,0.5663060897435898,0.8041971172577944,0.654320987654321
11,0.06877843538073145,0.8437555546092305,0.5737179487179488,0.7942512130829821,0.6419753086419753
12,0.06774675885002046,0.8238899609352015,0.5979567307692307,0.7781304373439207,0.6296296296296297
13,0.06673055746727016,0.8107562801883449,0.5801282051282052,0.7731623960134769,0.691358024691358
14,0.0657295991052611,0.7995243584325551,0.610576923076923,0.7475978358153287,0.691358024691358
15,0.06474365511868219,0.7845892767254958,0.6207932692307693,0.7320455044165879,0.7037037037037037
16,0.06377250029190196,0.7725044547727192,0.6352163461538461,0.7170424495985283,0.7283950617283951
17,0.06281591278752342,0.7592318130031068,0.6510416666666666,0.704526928839702,0.7407407407407407
18,0.061873674095710575,0.7438356060676385,0.680088141025641,0.6896801056110705,0.7530864197530864
19,0.06094556898427492,0.732334840526538,0.6983173076923076,0.6774410481177587,0.7407407407407407
20,0.06003138544951079,0.7162751201657381,0.6969150641025642,0.6670594207095025,0.7530864197530864
21,0.059130914667768125,0.7055108837862392,0.703525641025641,0.6604344143952876,0.7901234567901234
22,0.0582439509477516,0.6939605309031617,0.7177483974358975,0.6461856733267927,0.8148148148148148
23,0.05737029168353533,0.6793469607608932,0.735176282051282,0.6329736131887005,0.7901234567901234
24,0.05650973730828229,0.6696532169832424,0.740985576923077,0.621456374055899,0.8024691358024691
25,0.05566209124865806,0.6578989672129659,0.7399839743589743,0.6071105653998702,0.7901234567901234
26,0.05482715987992819,0.6466893721319336,0.7345753205128206,0.6011372179723619,0.8024691358024691
27,0.05400475248172927,0.6389269886661034,0.7485977564102564,0.5836758556775505,0.8518518518518519
28,0.05319468119450333,0.6250703133358883,0.7716346153846154,0.5725999883726957,0.8518518518518519
29,0.05239676097658578,0.6144175897408175,0.7542067307692308,0.5702513599939101,0.8395061728395061
30,0.051610809561936984,0.6079271501228182,0.7848557692307692,0.5547618511630295,0.8641975308641975
31,0.05083664741850793,0.5976438547285399,0.7770432692307692,0.5483360872799836,0.8395061728395061
32,0.050074097707230314,0.5880539502954734,0.7906650641025642,0.5339323330768576,0.8518518518518519
33,0.049322986241621854,0.5799028965735987,0.7718349358974358,0.529022843741292,0.8518518518518519
34,0.048583141447997524,0.5692951841996662,0.7996794871794872,0.5234068314676196,0.8518518518518519
35,0.04785439432627756,0.5624277839551738,0.7996794871794872,0.5129410848360931,0.8641975308641975
36,0.0471365784113834,0.5573838975563568,0.8096955128205128,0.50891611698735,0.8518518518518519
37,0.046429529735212645,0.5458869452399767,0.8086939102564102,0.49819607329436005,0.8765432098765432
38,0.04573308678918446,0.5404090435981767,0.8341346153846154,0.49070858569624354,0.8765432098765432
