model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
StackedEnsemble_BestOfFamily_1_AutoML_1_20260530_05352,0.9702561875814156,0.2198551674715619,0.9731666350969018,0.0929222752930959,0.2657165352391079,0.070605277099476
StackedEnsemble_AllModels_1_AutoML_1_20260530_05352,0.96993052540165,0.2254684027852281,0.9720411709833952,0.100412505427703,0.269797313766811,0.072790590515787
GLM_1_AutoML_1_20260530_05352,0.9674337820234477,0.2277213623854466,0.9705548236075364,0.1042118975249674,0.274259098365669,0.0752180530363497
DeepLearning_grid_3_AutoML_1_20260530_05352_model_2,0.9671081198436824,0.2422218643859272,0.9700130057444024,0.087386018237082,0.2723094838689458,0.0741524550049716
DeepLearning_grid_2_AutoML_1_20260530_05352_model_2,0.9662396873643074,0.2555658513009132,0.9692604050726298,0.0895570994355188,0.2824324511087275,0.0797680894392837
DeepLearning_grid_1_AutoML_1_20260530_05352_model_3,0.961788970907512,0.2453771044482609,0.962461956571187,0.0999782891880156,0.2815712767798153,0.0792823839074153
DeepLearning_grid_2_AutoML_1_20260530_05352_model_1,0.9432262266608772,0.306820127996801,0.946484776527888,0.120169344333478,0.3148119320528897,0.0991065525628732
DeepLearning_grid_1_AutoML_1_20260530_05352_model_2,0.941923577941815,0.3223715227111026,0.946562639032952,0.1318931828050369,0.3137019423081412,0.0984089086079003
DeepLearning_1_AutoML_1_20260530_05352,0.9408380373425966,0.3150622029405889,0.94760879103261,0.152301346070343,0.3201705731593784,0.1025091959172049
DeepLearning_grid_1_AutoML_1_20260530_05352_model_1,0.9402952670429874,0.3189644734141341,0.9436787968479052,0.136561007381676,0.323095817568806,0.1043909073304552
GBM_4_AutoML_1_20260530_05352,0.9379070777247068,0.3155707394215721,0.9397678780171164,0.135258358662614,0.3187962147073372,0.1016310265117266
GBM_grid_1_AutoML_1_20260530_05352_model_2,0.937147199305254,0.316352622963961,0.9391752043555064,0.159140251845419,0.3217848393611432,0.1035454828426767
GBM_3_AutoML_1_20260530_05352,0.9335649153278331,0.3242836516738947,0.9333781619519576,0.135258358662614,0.3238399120117237,0.1048722886117609
XRT_1_AutoML_1_20260530_05352,0.9308510638297872,0.3560770198587924,0.934775812026964,0.1423143725575336,0.3329407780563472,0.1108495616927658
GBM_2_AutoML_1_20260530_05352,0.9305254016500216,0.3335725542132325,0.935404325759438,0.1474164133738602,0.3321223979548564,0.110305287223284
GBM_grid_1_AutoML_1_20260530_05352_model_4,0.928245766391663,0.3486154083457056,0.9343426841453328,0.1574033868866695,0.3343408710897333,0.1117838180810417
DeepLearning_grid_3_AutoML_1_20260530_05352_model_1,0.926943117672601,0.3443169792453933,0.9326006757331352,0.1399261832392531,0.3323052260945659,0.1104267632897605
GBM_grid_1_AutoML_1_20260530_05352_model_5,0.9266174554928356,0.3478357288919669,0.931279743893224,0.1467650890143291,0.335897821303258,0.1128273463562754
GBM_grid_1_AutoML_1_20260530_05352_model_1,0.9239036039947894,0.3585065342875518,0.9246906046927736,0.1257056013894919,0.3371236698815291,0.1136523687943902
DRF_1_AutoML_1_20260530_05352,0.9202670429874076,0.3510201197614108,0.9185195138273268,0.1520842379504993,0.3351288580193763,0.1123113514773713
GBM_5_AutoML_1_20260530_05352,0.9110942249240122,0.3907771705092442,0.911493198844054,0.1567520625271385,0.3520474358651134,0.1239373970992011
GBM_grid_1_AutoML_1_20260530_05352_model_3,0.8433564915327832,0.4931868409289757,0.8365121769684624,0.2323056882327399,0.4059784179395806,0.1648184758327248
