epoch,mse,accuracy
1,0.2576778323122614,0.609375
2,0.2490349481854024,0.7083333333333334
3,0.23439977704604884,0.765625
4,0.21212109965627093,0.8020833333333334
5,0.18524731612524906,0.8125
6,0.1601759868452706,0.8229166666666666
7,0.14063268495109285,0.8385416666666666
8,0.12650263259000463,0.84375
9,0.11636431812282667,0.8489583333333334
10,0.10894376468822314,0.8489583333333334
11,0.10336141159651646,0.8489583333333334
12,0.09904482722021794,0.8489583333333334
13,0.0956224085893544,0.84375
14,0.09284869633720956,0.8385416666666666
15,0.0905573869240931,0.8385416666666666
16,0.08863269229722613,0.859375
17,0.08699191316702264,0.859375
18,0.0855746626887024,0.859375
19,0.08433602030228267,0.859375
20,0.08324204366190037,0.859375
21,0.08226673527785164,0.859375
22,0.08138993757772535,0.8645833333333334
23,0.0805958410156101,0.8645833333333334
24,0.07987190919449956,0.875
25,0.0792080943886867,0.875
26,0.07859625886780511,0.8854166666666666
27,0.07802974399713297,0.8854166666666666
28,0.07750304658311852,0.890625
29,0.07701157380197785,0.890625
30,0.07655145625132834,0.890625
31,0.07611940438595655,0.890625
32,0.07571259760873254,0.890625
33,0.07532859811291258,0.890625
34,0.07496528358112638,0.890625
35,0.07462079429618075,0.8958333333333334
36,0.07429349128504414,0.8958333333333334
37,0.07398192291704793,0.8958333333333334
38,0.07368479798700218,0.9010416666666666
39,0.07340096378354424,0.90625
40,0.07312938800595602,0.90625
41,0.0728691436723084,0.90625
42,0.0726193963755657,0.90625
43,0.07237939340597165,0.90625
44,0.07214845437888723,0.90625
45,0.07192596309649775,0.90625
46,0.07171136043704356,0.90625
47,0.07150413811253616,0.9114583333333334
48,0.07130383317010636,0.9114583333333334
49,0.07111002313685542,0.9114583333333334
50,0.07092232172611924,0.9114583333333334
51,0.07074037503640718,0.9166666666666666
52,0.07056385818439159,0.9166666666666666
53,0.07039247232120695,0.9114583333333334
54,0.07022594198764832,0.9114583333333334
55,0.07006401276911174,0.9114583333333334
56,0.06990644921559067,0.9114583333333334
57,0.06975303299593026,0.9114583333333334
58,0.06960356125897944,0.9114583333333334
59,0.06945784517734212,0.9114583333333334
60,0.06931570865217805,0.9114583333333334
61,0.06917698715997075,0.9114583333333334
62,0.06904152672439673,0.9114583333333334
63,0.06890918299841424,0.9114583333333334
64,0.06877982044346873,0.9114583333333334
65,0.06865331159429224,0.9114583333333334
66,0.06852953639918126,0.9114583333333334
67,0.06840838162688163,0.9114583333333334
68,0.06828974033230938,0.9114583333333334
69,0.06817351137430151,0.9114583333333334
70,0.0680595989794444,0.90625
71,0.0679479123467653,0.90625
72,0.06783836528873063,0.90625
73,0.06773087590455565,0.90625
74,0.06762536628233033,0.90625
75,0.06752176222689397,0.9114583333333334
76,0.06741999301076756,0.9114583333333334
77,0.06731999114577944,0.9114583333333334
78,0.06722169217330164,0.9114583333333334
79,0.06712503447126311,0.9114583333333334
80,0.06702995907631884,0.9114583333333334
