name,n_layer,n_head,n_embd,params,val_loss,val_ppl
mini,2,4,96,239616,2.249760389328003,9.54672756524987
base,3,4,128,615680,2.553931951522827,12.814138728913218
wide,4,4,128,813568,2.630314588546753,13.855945564864813
