episode,reward,epsilon,soft_landing
0,-58.51658722975371,0.993,0
1,-38.736961163320395,0.986049,0
2,2.2935689727327393,0.9791466569999999,0
3,-5.787062579575652,0.9722926304009999,0
4,-68.29278481459085,0.9654865819881929,0
5,-123.86574194564707,0.9587281759142756,0
6,-61.56918119647922,0.9520170786828757,0
7,-84.25592877963219,0.9453529591320955,0
8,133.3723201500299,0.9387354884181708,1
9,-29.37139670535122,0.9321643399992435,0
10,-71.23884452376497,0.9256391896192488,0
11,-54.91472154787594,0.9191597152919141,0
12,-90.13240349404563,0.9127255972848707,0
13,-75.18052659403907,0.9063365181038766,0
14,-61.5316622625629,0.8999921624771494,0
15,-4.718563813891762,0.8936922173398094,0
16,-122.72596689230754,0.8874363718184307,0
17,-806.7280598161387,0.8812243172157017,0
18,96.69756702740052,0.8750557469951918,1
19,-198.67372581692823,0.8689303567662255,0
20,-179.4212035181786,0.862847844268862,0
21,-39.244935736845115,0.8568079093589799,0
22,-10.037244503110859,0.850810253993467,0
23,1.770661304750388,0.8448545822155127,0
24,-26.43782426508084,0.838940600140004,0
25,-5.529403735990946,0.833068015939024,0
26,-60.11084705362974,0.8272365398274508,0
27,-151.2257557016666,0.8214458840486587,0
28,-3.7932978905594723,0.8156957628603181,0
29,10.242660277571098,0.8099858925202958,0
30,-56.842985278590895,0.8043159912726537,0
31,-642.8468954566279,0.7986857793337452,0
32,135.24051402183036,0.793094978878409,1
33,-504.2255143804056,0.7875433140262601,0
34,-209.08820325888925,0.7820305108280763,0
35,-24.04736530396216,0.7765562972522797,0
36,-480.2867635452598,0.7711204031715138,0
37,1.3967128167817169,0.7657225603493132,0
38,-14.201744380831434,0.760362502426868,0
39,32.41539875574356,0.7550399649098799,0
40,-326.08044612882065,0.7497546851555107,0
41,-1.5894168388505667,0.7445064023594221,0
42,-378.42656047218026,0.7392948575429061,0
43,-788.9937205402513,0.7341197935401058,0
44,99.41850922382834,0.7289809549853251,1
45,-806.9262828156905,0.7238780883004279,0
46,-590.0694934486223,0.7188109416823248,0
47,93.20666075895826,0.7137792650905486,1
48,-633.6793470958941,0.7087828102349147,0
49,-466.4748832073517,0.7038213305632703,0
50,23.848223169803582,0.6988945812493275,0
51,-49.81262265732176,0.6940023191805822,0
52,100.1791653752965,0.6891443029463181,1
53,-316.16510401308426,0.6843202928256938,0
54,-514.0852476105474,0.679530050775914,0
55,92.49734931970369,0.6747733404204826,1
56,104.92371007204348,0.6700499270375393,1
57,-36.9930041858614,0.6653595775482766,0
58,-655.865516763853,0.6607020605054387,0
59,7.430524000988797,0.6560771460819006,0
60,-78.03277821917277,0.6514846060593273,0
61,101.44218671512571,0.646924213816912,1
62,-574.545222164718,0.6423957443201936,0
63,-437.4328269422493,0.6378989741099523,0
64,-397.3599816527616,0.6334336812911827,0
65,-703.9313716813756,0.6289996455221444,0
66,-93.7629813676521,0.6245966480034894,0
67,-421.7369385304305,0.620224471467465,0
68,-651.565466251912,0.6158829001671927,0
69,-97.07760388492396,0.6115717198660223,0
70,-349.10857124171184,0.6072907178269602,0
71,-88.8437260132295,0.6030396828021715,0
72,-60.52690594461275,0.5988184050225562,0
73,-47.75891142415808,0.5946266761873983,0
74,-10.391346243601872,0.5904642894540865,0
75,17.945718284808,0.5863310394279079,0
76,-167.15656998376826,0.5822267221519125,0
77,-172.10253450266987,0.5781511350968491,0
78,-27.42760450766326,0.5741040771511712,0
79,-90.24370314369233,0.5700853486111129,0
80,-91.5451198664098,0.5660947511708352,0
81,-62.11947774373326,0.5621320879126394,0
82,-109.54487709685468,0.5581971632972509,0
83,-86.97800300535393,0.5542897831541701,0
84,-130.09202711012222,0.5504097546720909,0
85,-50.10806518921808,0.5465568863893863,0
86,-101.02204983021763,0.5427309881846606,0
87,-118.85353459055709,0.538931871267368,0
88,-75.11393943499414,0.5351593481684964,0
89,-36.01613007830604,0.5314132327313169,0
90,-1038.14109916782,0.5276933401021977,0
91,-20.98536199666022,0.5239994867214823,0
92,-54.66245361152554,0.5203314903144319,0
93,-39.970120069983665,0.5166891698822309,0
94,8.978933147557399,0.5130723456930553,0
95,-98.32451066828595,0.5094808392732039,0
96,35.258473260473856,0.5059144733982914,0
97,-87.71744216969086,0.5023730720845034,0
98,9.924216653570248,0.4988564605799119,0
99,-52.22440953130445,0.4953644653558525,0
100,12.244937096675041,0.4918969140983615,0
101,-75.31494793899763,0.488453635699673,0
102,-118.21351601406153,0.48503446024977526,0
103,-26.84988879018138,0.4816392190280268,0
104,-0.5585242342380803,0.4782677444948306,0
105,-48.845711230612885,0.4749198702833668,0
106,-58.10994299695593,0.47159543119138325,0
107,-32.188940979030505,0.46829426317304357,0
108,-36.177557875609374,0.46501620333083227,0
109,32.39898037840912,0.46176108990751646,0
110,-58.57185343365956,0.45852876227816386,0
111,-35.926183417513876,0.4553190609422167,0
112,-62.9736109558748,0.4521318275156212,0
113,9.866442975331637,0.4489669047230119,0
114,-45.57264555156796,0.4458241363899508,0
115,-65.69816930105715,0.4427033674352211,0
116,-32.751874127648435,0.43960444386317454,0
117,-102.49573680764317,0.4365272127561323,0
118,-81.8280898565562,0.4334715222668394,0
119,-92.17305723197795,0.4304372216109715,0
120,26.30966024185429,0.42742416105969466,0
121,-60.5812771264876,0.42443219193227677,0
122,110.99930848185294,0.4214611665887508,1
123,-11.674890292991819,0.41851093842262954,0
